id,AC093001.1,MUCL1,ROCR,HMGCS2,CYP4Z2P,CLCA2,SOX10,CT83,LINC01152,HORMAD1,CYP4Z1,ROPN1B,SPINK8,TFAP2B,TDRD1,ADH1C,ROPN1,PRSS33,GABRP,SDR16C5,CEACAM5,DLX6,CPHL1P,TSPAN8,FOXA1,LEMD1,LINC02188,CCL21,LINC02487,FREM2,SLC6A15,LINC00993,LINC01956,IYD,CEACAM7,ENSG00000240800,ABCC12,MIA,LINC01198,CYP4F8,KLHDC7A,TMC5,ANKRD30A,ABCA12,OCA2,LRRC31,TFF3,HGD,AC096996.2,REEP6,ZIC1,AR,AGR2,TTC6,LRG1,SLC44A4,AC020907.1,SMIM31,C7,TPSB2,UGT8,FCN2,CNTNAP2,SPDEF,TMEM213,ZBTB8B,COL9A1,ENSG00000254967,ELF5,CAPN13,OXGR1,SHC4,DLX6-AS1,SIDT1,PRAME,SOX9-AS1,ZBTB16,LINC01224,CPA3,AC008268.1,TPSAB1,TTYH1,SPHKAP,KIRREL3-AS1,CCKBR,C9orf152,AC024940.2,RLBP1,FAM19A3,CA6,AP001783.1,AARD,FABP4,PLA2G2A,BCAS1,LRFN2,EPGN,SLCO4A1-AS1,PRR15,ART3,PLEKHG7,CTSG,AC005077.4,LINC02015,POU4F1,HDC,AL157387.1,AC011247.1,OGN,GABBR2,MUC16,ST6GALNAC1,RASGEF1C,SOX8,AC015712.4,NDUFB4P11,CRABP1,SEC14L4,MS4A2,SLC27A6,S100A1,TPSD1,KNDC1,SCRG1,MLPH,SELP,NCMAP,CHRM3,AL022334.1,PCDH8,FCER2,ZIC4,EN1,TFCP2L1,SFRP1,MMRN1,ABCA8,TCAM1P,VGLL1,PTX3,CST2,DLGAP1,AC022101.1,DSC3,PLEKHB1,TMPRSS5,SYTL5,ENSG00000232224,PLS3-AS1,PLA2G4F,CRHR1,MAPK4,CYP4B1,GFRA3,OR7E22P,EPHA7,ABCC8,KRT9,AC245884.9,BLK,NRTN,GTF2IP7,OPRK1,SLC7A2,C8orf46,SCUBE2,AC021683.2,LINC00862,SOX6,FBN3,KYNU,TMEM45B,AC098936.1,CMTM5,OR2B6,C4B,LINC00160,ATP1A2,AC022148.1,MFAP4,KRT83,CILP,LINC00518,LILRA4,LAMP5,LINC01122,CNR2,AC069148.1,DRAIC,CD19,FOXD3,KCNK5,IMPDH1P8,SFRP4,NRK,HRASLS2,EXTL1,CD177,SERPINB5,GFRA1,CXCL14,LINC00504,CYP4F22,MSX2,RPSAP69,LINC00839,WNK3,SCN2B,FOXD3-AS1,TSPAN1,LINC00092,CMA1,KERA,C9orf170,ENSG00000253701,C1QL4,SVOPL
SD0083,0.028,0.45,56.512,0.225,0,0.028,305.669,9.166,25.838,26.4,0.028,77.064,0.056,7.929,0,0.028,66.661,25.079,1013.752,8.631,0,0.675,0.084,0.169,2.783,0.478,2.699,1.827,0.534,43.101,10.093,0.028,17.825,0.084,0,0,0,4.555,3.514,0.056,0.141,1.068,0.112,0.619,10.29,0.084,0.337,3.318,0,0.647,33.148,28.396,0.956,0.112,0.506,2.305,4.386,0,1.237,0.59,120.671,0.731,5.707,23.111,10.093,0.365,173.387,0.112,480.462,0.169,19.006,71.497,1.715,2.362,0.084,34.807,0.281,5.989,0.197,0,0.675,358.919,4.077,3.627,1.49,0.815,59.886,2.277,3.543,327.824,2.249,204.286,3.796,0.703,1.068,0.084,0,2.193,0.619,43.044,0.225,0.028,0.394,0.056,4.527,0.112,0.028,37.703,1.04,4.47,333.559,0.028,29.184,23.251,0.281,4.695,95.732,1.434,0,16.307,49.202,0,0,4.498,3.093,0.731,26.232,21.986,2.334,15.492,0.253,7.844,96.688,45.097,977.736,0.365,1.012,21.958,56.708,9.447,0.281,25.81,0,39.249,236.253,5.876,0,1.518,0.337,0,21.902,21.649,0.281,10.178,4.217,11.077,0.309,0.309,3.824,0.984,3.908,0.028,6.86,3.683,54.094,7.198,8.547,0.309,32.361,8.153,6.944,0.337,0.675,11.555,1.237,2.362,0,0.112,0.056,7.535,62.809,40.149,0.084,0.534,3.374,0.956,0.675,0.112,0.225,2.502,1.687,56.062,3.008,19.062,0.647,0.112,146.958,0.506,77.064,2.418,17.038,0.253,0.197,0.506,1.49,14.058,7.198,0.112,3.233,1.153,18.106,0.141,0,2.418,0.028,0.872,5.707
SD0089,0.373,6.414,23.718,0.186,0.186,0.373,81.15,6.937,9.51,12.903,0.82,39.717,0,0.41,0.075,0.037,10.032,1.156,7362.926,1.007,0.075,3.878,0.336,2.424,4.289,0.82,4.774,0.186,6.675,3.841,0,0.075,0.336,0,0,0,0.597,2.722,0.037,0.149,0.224,0.597,0.112,1.044,30.543,0.037,0.522,0.224,0.037,0.485,16.372,86.184,78.241,0.186,0.261,0.485,1.678,0.224,0.448,0.037,45.945,0.112,1.305,2.685,1.678,1.156,0.597,0,245.128,0.224,3.133,17.006,8.466,0.932,104.197,19.616,2.611,7.943,0.671,0,0.224,51.054,0.149,0.709,8.689,1.641,615.112,0.224,0.709,0.448,0.746,127.244,0.783,0.149,0.261,0,0.075,0.336,0.336,114.825,0,0.037,0.634,0.559,1.343,0,0.037,23.084,3.729,0.298,135.486,0,7.123,14.097,0.224,1.827,0.224,7.048,0,1.156,5.184,0.037,0.149,13.724,0.97,0.373,5.743,31.102,1.678,1.977,0,1.977,15.477,227.451,7108.028,0.261,0.522,1.156,23.047,5.594,0.037,33.303,0,40.873,149.433,14.917,1.529,0.112,0,0.336,2.2,2.163,3.021,3.99,1.529,0.746,0.075,2.648,1.454,0.075,3.804,0,0.559,11.076,2.983,3.617,4.326,0.075,1.492,14.656,2.872,1.902,0.261,3.506,47.064,0.634,0.41,0,1.902,5.072,1.231,21.182,0,0.224,2.536,1.604,0,0.97,0.075,0.037,1.156,31.289,1.305,16.185,0.298,0.149,1.007,0.112,438.567,0.634,1.827,0.336,0.037,4.028,1.044,22.973,12.605,0.037,7.011,1.007,1.827,0.186,0.075,0.075,0,0.298,1.193
SD0092,19.36,668.664,0.199,3.266,19.16,77.399,5.099,0,0,2.231,14.062,0.996,6.931,109.625,9.162,13.663,1.115,0.159,15.296,11.552,11.911,0.159,2.589,22.825,71.662,0.319,0,87.636,0.717,0.08,0,1.753,0.159,2.629,0.837,1.832,5.617,0.279,0,0.04,3.107,21.511,3.705,52.98,0.04,2.868,7.33,24.897,2.31,40.392,0,79.908,175.073,2.788,27.884,35.094,0.159,1.195,164.597,24.1,1.195,7.369,9.082,77.399,0.558,0.12,0,0.04,3.147,25.414,0.159,2.709,0.199,22.228,9.361,2.908,1.593,0,33.899,0.359,31.748,0.956,0.12,0.08,0,31.43,0.398,0,0.199,0.12,0.04,7.569,78.474,164.039,2.271,0.199,0.598,0.159,19.798,4.023,1.195,7.927,6.174,1.514,0.12,4.183,1.076,1.633,174.316,1.036,7.927,5.418,0.08,1.713,0.04,2.988,3.346,0.04,2.47,1.036,1.076,2.111,1.474,1.434,94.488,61.544,2.47,0.637,0.04,0.08,6.374,0,2.43,16.651,178.499,29.517,66.603,3.107,0.279,3.944,5.856,0.717,1.195,12.349,10.158,0.12,1.952,0,0,2.589,0.159,0.359,1.155,0.677,0.12,0.757,0.199,0.12,0.12,5.776,1.036,2.589,0.08,21.192,0.996,34.815,0.438,1.434,1.753,2.35,147.468,4.103,0,0.08,0.359,63.576,0.956,3.744,0.08,219.09,0.159,365.562,0,3.067,32.744,0.12,4.143,0.159,0.359,10.038,0.239,8.883,0.199,988.098,10.038,2.43,1.394,2.709,24.777,40.512,698.261,1.753,0.837,6.174,0,2.31,1.076,3.665,0.518,27.805,0.239,3.744,1.673,0,1.713,0.12,0.199
SD0093,104.155,1370.371,0,165.93,234.228,892.667,0.483,0,0,0.035,1654.571,0.242,10.25,184.29,18.843,0.069,0,0,0.656,22.294,0.173,0.035,3.762,7.109,270.326,0.035,0,4.383,0.104,0.207,0,0.069,0.104,4.659,0.656,0,3.244,0,0,0.173,3.21,203.444,0.207,69.506,0,6.488,12.769,2.795,2.036,108.71,0.449,195.644,480.569,14.529,35.823,65.502,0,2.209,8.214,53.734,1.691,3.21,3.279,133.041,0,0.173,0.104,0.587,7.316,31.543,0.069,0.345,0.138,87.348,0.207,0.276,1.173,0,90.834,2.209,79.893,3.348,0.035,0,0,35.754,0.069,0,0.104,0,0,54.321,18.084,11.596,6.454,0.69,5.211,0.069,21.086,0.138,3.037,2.14,27.367,1.208,0,9.387,0.035,0.345,118.373,0,3.658,0.863,0.242,0.449,0.069,0,0.173,0,4.279,0.207,0.656,5.867,17.98,0.587,269.671,2.761,0.173,0.414,0,0.035,0.311,0.38,8.559,1.933,5.073,1.001,4.728,0.035,0.276,0.863,2.347,0.207,0.138,0.587,8.869,0.725,9.939,1.001,0.069,7.42,0.966,0.069,6.695,0.069,0.035,0.173,2.588,0,0.035,1.07,0.621,4.694,0,48.281,0.69,42.242,0.104,1.104,5.763,1.208,77.133,8.904,0.069,0,0.173,158.648,0.035,0.794,1.588,110.954,0.035,320.713,0,1.277,57.668,0.138,0.242,0.38,18.118,1.415,0.483,7.696,0.276,224.081,12.735,1.035,1.415,5.591,0.069,38.066,218.629,11.044,3.244,45.175,0,1.001,2.209,2.83,3.693,47.902,0.035,0.38,2.105,0.207,0.449,0.035,0.38
SD0106,157.593,5559.553,0,31.259,53.599,228.163,0.606,0,0.043,0.043,2.425,0.043,34.852,270.029,31.389,6.018,0,0,3.507,69.921,5.369,0,8.01,42.385,179.846,0,0,43.857,0.216,0.043,0,7.447,0,17.058,9.828,8.399,27.059,0.173,0,12.426,1.169,58.361,32.168,177.421,0,2.208,3.161,36.541,5.975,119.104,0.043,487.238,24.418,4.546,51.088,40.437,0,1.299,9.741,11.56,8.226,14.417,27.102,155.947,0.346,0,0.043,0.563,8.746,97.803,0,3.031,0.13,109.189,68.709,0.476,15.759,0,12.642,0.303,17.708,1.559,0.043,0.043,0.087,43.987,0.13,0,0.216,0,0,4.762,4.373,1.862,6.581,1.429,1.775,0,3.464,0.346,6.537,0.909,14.634,1.126,0,2.035,8.356,0.216,12.166,0.173,1.256,3.723,0,1.602,0,0.087,1.775,0.087,1.429,0.303,0.606,1.429,19.872,0.909,151.142,14.59,1.299,1.256,0,0,0.476,0,2.078,11.819,23.033,9.958,3.723,0,0.779,1.212,6.321,0.736,0.433,14.287,4.286,0.173,11.646,0.043,0,5.498,0.693,0.779,0.909,0.346,0,0.346,3.031,0,0.087,0.649,0.216,3.55,0.087,98.842,0.216,83.299,0,4.546,5.325,1.775,291.849,17.058,0.043,0,0.043,29.873,1.082,1.039,0.043,30.436,0.043,148.674,0,3.723,22.643,0.173,0.866,0.043,0.433,2.295,0,3.507,0,174.218,29.614,9.222,5.369,0.173,12.209,65.158,33.38,3.247,2.771,49.01,0.087,1.905,0.996,0.52,0,16.928,0,0.13,0.952,0.043,0.736,0.043,0.26
SD0126,0.196,2.74,0.391,0.049,0.049,2.789,9.15,8.367,0.049,18.741,0.343,1.664,0.294,1.223,0.196,0.538,6.997,2.936,196.021,0.881,0.489,0.098,2.055,0.685,2.349,2.055,0.343,19.034,0,0.587,7.584,1.419,14.484,0.147,0,0.587,0,0.44,1.076,0.294,1.174,1.419,0.44,1.468,1.615,0.147,0.93,0.93,0,38.999,14.435,5.334,4.551,0.245,5.089,1.615,2.642,0,13.701,1.859,19.426,0.147,13.358,18.888,1.859,0.098,0,0.049,30.093,5.382,1.468,2.691,0,4.208,75.6,5.529,0.147,16.441,1.762,0.343,4.061,2.838,0.049,0.44,0.049,2.936,21.921,0,0.294,0.881,0.049,60.333,33.274,1.517,0.783,0,0,0.098,19.034,10.52,0,1.272,0.979,0.049,0.685,0.783,0.391,2.496,1.468,3.034,23.438,0.098,0.049,1.762,0.049,4.893,146.159,4.746,0.098,1.81,11.156,0.147,0.489,1.125,14.484,4.012,1.419,6.312,0.098,0,3.963,6.459,141.56,52.015,307.634,2.593,2.936,1.076,3.866,5.236,1.517,0.685,0.587,260.122,13.309,0.685,0.245,10.374,2.593,1.957,1.566,2.936,0.538,3.523,3.67,0.196,0.049,1.223,0.049,8.71,6.655,0.147,1.272,7.34,6.557,6.019,5.774,0,1.174,2.691,9.052,0.538,0,0,1.076,122.623,0,0.343,4.159,54.412,0.147,25.053,0.93,2.153,4.159,0.049,2.349,0.245,0,10.569,1.762,32.148,3.083,44.822,0.489,0.343,2.74,0.098,22.313,5.725,91.796,0.587,12.527,0.734,0.098,6.85,5.676,0.196,1.957,35.916,2.936,0.44,0.049,0.245,2.3,11.401,1.762
SD0128,0.163,1.754,5.59,0.163,0.082,0.122,273.204,11.18,0.367,15.015,0.204,5.875,0.245,0.122,0,0,12.404,4.611,1373.407,0.082,0.163,0,0.041,0.571,1.061,9.996,1.183,0.286,0.163,0.938,24.195,0,18.157,0.694,0,0,0,5.1,0.694,0,0.122,0.612,0.122,0.653,0.898,0,0.367,0.775,0.163,9.67,9.874,2.978,0.898,0.041,2.162,0.857,16.606,0,0.449,0.653,53.531,0,0,0.734,0.082,0.734,0,0.041,276.754,0.082,1.061,3.631,0,3.019,85.968,4.57,0,0,1.306,0,0.816,14.811,0,0.082,0.122,2.897,105.961,0.938,16.32,0.245,0.041,70.423,0.245,0.734,0.245,0,0,1.795,0.041,151.495,0,0.163,0.245,0.326,0.245,0.245,0.082,73.483,0.122,8.283,167.693,0.163,48.472,11.139,0.286,10.241,611.079,0,0,4.529,32.6,0.122,0,8.65,4.366,3.958,0.694,0.204,0.286,0.041,0.286,3.917,94.985,13.342,185.36,2.162,0.408,0,45.942,1.714,0.041,3.876,0.122,5.835,15.504,0.898,0.041,1.061,0.326,1.061,0.49,1.02,0.245,42.188,9.221,0.408,0.041,0.041,0.286,0.571,21.665,0,0.408,2.611,30.927,0.979,0,0.204,2.815,1.387,11.139,0.245,0.449,0,0.326,2.652,0.041,0,0.041,2.693,1.224,1.265,0.041,2.774,2.122,0.53,0.122,0.816,0.49,0.612,0.612,52.307,0.857,37.17,0.204,0.326,1.387,0.082,17.871,0.694,4.896,0.082,0.163,0.163,0.286,10.567,11.22,0.041,2.897,3.55,4.284,0.122,0,0.204,0.204,5.549,5.1
SD0177_Lt,39.048,373.139,0.596,35.819,7.104,290.722,10.383,0,0.099,0.497,15.897,0.894,10.83,69.253,0.944,3.776,0.447,0,23.2,19.822,104.127,0,1.49,2.434,157.135,0.099,0.05,39.594,0,0,0.05,15.599,0,15.202,3.726,13.662,40.29,0.149,0,0.298,61.205,28.019,17.239,42.823,0.199,6.756,16.593,36.415,3.229,86.143,0,135.922,104.525,1.441,6.707,99.954,0,3.179,179.143,17.239,1.391,0.149,21.958,299.018,0.05,0.298,0.298,1.937,7.551,73.525,0.994,2.832,0,26.976,40.637,3.478,2.881,0.099,16.394,2.484,22.554,1.59,0,0,0.05,41.035,0.497,0,0.05,0.248,0,16.941,63.838,5.564,12.072,2.683,0.894,0.099,52.262,0.248,0.348,3.875,26.131,0.348,0.199,1.937,6.806,0.149,19.971,0.447,2.037,3.428,0.447,0.944,0.05,0,0.348,0.248,0.596,1.888,2.981,2.236,0,0.298,193.102,48.089,3.974,1.49,0.05,0,7.154,0,1.043,6.806,58.274,18.63,25.386,0.497,2.037,2.186,2.136,0.447,0.199,13.215,10.284,0.447,1.391,0.944,0,5.316,0.199,0.397,2.583,1.143,0.497,1.739,1.888,0,0,21.114,1.242,3.179,0.447,27.373,0.199,13.91,0.248,0.298,1.689,5.564,70.296,39.892,0,0.149,0.447,55.541,0.348,8.793,0.05,121.267,0.298,511.048,0.248,3.378,22.107,0.199,5.713,0.497,3.08,18.58,0.149,5.266,0.199,130.855,1.59,2.434,1.341,1.143,7.75,21.908,185.303,2.832,0.745,9.389,0.099,1.689,0.795,0.994,0.397,10.929,0.149,0.348,1.937,0.099,1.788,0.298,0.05
SD0261,315.331,1820.615,0,4.075,19.123,233.058,2.369,0.035,0.104,0.07,38.454,0.244,11.634,115.119,0.906,4.11,0.279,0.07,217.419,16.232,18.914,0,4.075,0.801,169.212,0.139,0.453,10.345,0.139,1.985,0.104,5.538,0.453,10.24,1.393,6.061,0.836,0,0,1.324,6.653,113.168,18.426,59.597,0.07,7.21,2.856,7.489,0.104,29.433,0.104,72.763,142.043,5.678,41.798,60.224,0.139,0.418,14.107,4.772,1.881,4.737,13.863,76.421,0.975,0.418,0.07,1.219,16.266,43.992,1.498,0.383,0,50.367,2.891,0.279,0.592,0.383,28.701,0.592,9.648,1.881,0.07,0.139,0,27.064,0.592,0.035,0,0,0.139,37.897,9.997,29.711,9.823,0.279,6.792,0.627,7.071,1.219,1.115,1.149,3.03,89.204,0.557,1.324,3.866,0.488,19.262,0.104,31.557,2.02,0.174,0.313,0.07,0.627,11.703,0,1.393,0.801,1.637,0.731,3.622,0.453,100.733,6.374,1.463,0.07,0.174,0.279,1.149,0.035,6.305,4.598,95.265,4.598,6.165,0.522,7.175,0.279,1.08,0.662,10.624,3.1,2.612,0.035,11.947,0.07,0.174,2.996,0.697,0.383,21.839,0.07,0.07,0.313,0.279,0.104,0.139,1.498,0.94,0.627,0.801,147.512,0.453,21.038,0.035,1.184,0.418,5.016,142.984,25.253,0,0,0.035,71.126,0.836,1.01,0,30.826,0.139,71.579,0,3.344,9.021,0.139,0.94,0,2.055,2.508,0.557,5.399,0,144.9,13.654,2.891,0.627,0.627,20.551,5.085,50.053,0.522,1.08,8.081,0.731,0.871,2.961,0.035,0.348,13.341,0.07,0.348,1.115,0.174,0.418,0.697,0.139
SD0278,0.142,1.955,67.383,0.071,0,0.426,85.153,16.206,7.748,54.731,0.178,23.065,0.036,0.462,0.178,1.741,36.926,0.213,2122.007,14.358,0.142,6.824,0.64,0.782,3.59,21.111,3.625,31.311,6.966,10.342,9.951,0.036,6.61,0.284,0,0,0,17.663,5.402,0.107,0,0.284,0,2.026,3.199,0.071,0.569,2.026,0,0.711,9.382,5.331,1.99,0.249,0.782,0.355,1.244,0,34.474,3.056,85.047,0,2.026,0.995,0.888,0.036,1.67,0.071,137.255,0.462,2.203,75.344,10.591,4.585,24.736,28.929,0.853,0,6.646,0,2.843,15.673,0.142,0.675,0.569,1.173,1.919,2.772,8.387,3.554,5.686,136.295,29.427,20.044,1.67,0.107,0.107,2.31,4.087,93.505,0.071,1.031,0.107,0,3.483,0.604,0,9.738,15.495,0.142,113.763,0.569,2.488,40.586,0.853,2.097,1.457,0.071,0.498,1.315,10.058,0.604,0,5.295,25.624,7.925,17.521,14.429,1.493,0.036,1.848,3.412,56.117,40.906,599.947,3.376,10.484,0.498,65.784,28.538,0.391,2.203,0.071,3.732,69.374,12.688,0.284,2.559,0.426,0.107,3.27,1.67,1.564,0.391,0.817,1.351,0.036,1.315,0.284,6.077,1.386,0.107,3.803,12.581,16.313,3.021,0.107,0.071,29.107,3.98,18.054,3.767,0.96,1.706,0.604,5.651,0.533,2.239,0.071,35.469,1.777,70.511,0,2.452,5.402,0.213,2.843,0.782,0.569,5.047,0.142,61.164,1.244,72.146,0.604,0.426,14.323,1.315,99.191,3.092,56.828,0.178,0.462,0.462,1.066,0.888,4.727,0.249,0,1.457,0.142,0.284,0.249,0.178,0.782,0.533,3.945
SD0287,326.672,6512.093,0,4.757,27.53,13.616,0,0,0,0.119,0.951,0.238,112.736,44.179,22.535,126.53,0,0,4.043,29.076,0.119,0,0.357,39.6,123.617,0.119,0,27.054,0.059,0.059,0,1.189,0.238,6.422,0.297,0.535,6.541,0.297,0,13.557,18.076,54.822,0.832,36.092,0.892,3.092,634.614,48.4,11.238,193.363,0.059,143.298,5.351,3.865,91.865,73.373,0,0.892,1.13,2.914,2.378,154.774,16.47,420.499,0.119,0,0,0,9.276,93.114,0,0.059,0,20.157,0.654,3.032,36.152,0,3.924,4.578,2.081,16.411,0,0,0,169.341,0.059,0,0.238,0,3.449,0.238,5.411,22.357,29.254,7.908,0.059,0.951,24.26,0.059,0.951,0.476,5.47,0.654,0,2.795,0.238,0.297,1.903,0,0.119,177.012,0.951,2.795,0,0,0.059,0,0.476,0.238,1.427,0.178,2.735,1.011,245.747,1.368,0.238,0.297,0,0.178,1.13,0,3.508,2.141,37.757,0.714,0.416,3.568,39.184,0,1.486,0.059,1.724,0.059,1.486,0.297,2.497,0.178,0,16.649,0.714,1.546,3.568,0.297,0,0.059,2.973,0,0,0.773,1.249,1.189,0.178,137.233,1.189,247.59,0,0.059,0,0.416,177.25,87.941,0,0,0.059,16.173,17.719,3.449,0.238,6.957,0.535,22.714,1.011,2.914,9.989,0,0.178,0.178,1.427,2.497,0,0.357,0.119,51.968,3.924,53.335,1.486,0.832,1.13,1.486,12.011,0.773,1.189,15.281,0,0.297,0.297,0.238,0,1329.877,0,0.357,0,0.297,0.892,0,6.303
SD0315,273.638,3845.603,0,3.205,113.595,227.027,0.109,0,0,0.435,1100.366,0.054,58.509,226.103,17.873,1.141,0,0,0.38,68.07,12.495,0,156.512,0.435,141.736,0,0,52.207,0.163,0,0,155.589,0.109,10.05,1.63,85.563,17.819,0,0.326,11.028,1.793,36.941,17.276,25.913,0,1.575,2.988,17.004,12.984,104.523,0,129.404,331.441,46.177,44.764,44.058,0.598,1.467,17.167,12.712,0.217,6.573,13.744,137.607,0.38,0.109,0.054,0.109,0.054,93.875,0,1.358,0.326,36.29,0.489,1.901,0.815,0,3.748,0,6.139,2.662,0,0,0,13.799,0.652,0,0,0.054,0,18.199,153.579,38.626,10.268,0.435,0.38,0,15.428,10.05,2.336,2.227,7.986,3.911,0,1.141,39.821,0.163,14.722,0,1.847,0.435,0,1.901,0,0.489,1.738,0,0,0,1.304,0.217,1.738,0.489,304.984,6.03,0.652,0.054,0.054,0,2.064,0.38,11.408,2.282,9.344,6.03,11.028,0.054,2.716,2.716,9.507,0.38,0.217,0.978,3.205,1.358,2.336,0.435,0,2.227,0.543,0,2.879,0.109,0.109,0.109,0.435,0,0.054,1.956,0.054,1.575,0,15.483,2.173,39.603,0.054,1.956,0.706,0.054,194.377,9.996,0,0,0.435,11.463,1.847,2.064,0.217,48.73,0,100.883,0,2.282,16.08,0,1.684,0.272,1.087,3.151,0,5.976,0.163,392.448,9.398,0.435,0.543,2.716,0.054,10.974,160.043,3.205,0.978,42.157,0.272,0.978,1.412,0.815,0.652,19.177,0.109,0.924,0,0,1.521,1.412,0
SD0316,0.348,0.886,13.731,0.032,0,2.278,255.256,3.923,9.491,5.79,0.285,62.738,0,0.411,0.095,0.063,39.295,1.993,164.708,0.095,0.285,1.234,0.032,0,0.823,12.908,4.113,1.297,5.125,18.224,0.032,0,8.384,0,0,0.063,0,14.364,0.19,0.032,0.032,0.158,0.095,0.854,4.524,0,1.234,0.158,0,0.823,0.032,3.164,1.392,0.095,0.791,60.872,6.169,0,2.341,2.12,25.5,0.032,0.918,1.74,0.348,3.607,2.879,0,23.539,0.19,1.962,91.972,1.266,1.455,149.015,7.878,0,3.322,1.107,0,3.069,75.963,3.417,2.373,2.721,1.171,3.86,1.076,5.094,3.891,0.981,66.282,2.974,2.31,0.411,0.063,0,1.107,0.823,4.05,0.127,0.316,0.949,0,0.633,0.601,0.063,0.664,5.695,12.181,37.618,0.253,0.538,105.165,0.696,2.468,314.894,7.213,0,7.625,81.278,0.063,0.095,20.47,9.618,3.607,18.034,40.56,1.076,1.297,0,0,149.743,253.01,303.473,0.759,1.55,11.548,1.74,65.491,0.348,32.113,0,56.094,23.127,4.398,0.854,6.612,0.633,0.19,8.163,19.869,0.19,7.815,0.38,5.663,0.032,1.708,0.854,0.158,11.516,0.19,2.816,3.512,0.981,7.751,12.719,0.032,24.172,58.119,5.853,0.664,3.354,10.472,0.506,4.714,0,0.19,0.158,30.531,2.278,99.217,1.519,0.538,7.656,0.601,0.221,1.519,0.127,0.443,3.259,106.589,0.443,57.74,1.012,0.569,115.163,0.253,132.089,1.614,26.07,0.127,0.253,3.828,0.601,0.633,12.086,0.19,3.259,3.037,0.443,0.063,0.854,0.221,0.063,3.891,3.354
SD0325,0.238,20.895,15.835,0.417,0,0.06,120.486,7.203,0,0,0.417,33.098,0.536,0.238,0.119,0.655,31.967,9.465,104.949,2.084,0.119,0,0.536,0.536,0.893,18.811,0,346.218,2.203,0,1.488,0.06,40.539,0,0,0.06,0,28.752,4.465,0,0.06,0.655,0.298,2.322,1.905,0,10.179,4.703,0,3.929,6.905,5.417,3.929,0,13.215,1.726,4.643,0,26.728,108.64,14.465,0,0.476,4.941,0,0.595,0.417,0,28.871,0.952,1.012,2.5,0,20.24,0.179,6.846,2.381,0.833,4.881,0.298,50.54,2.203,0,0,0.119,1.072,62.148,4.822,6.131,2.143,0,36.253,28.157,20.895,0.595,0.179,0,2.322,0.06,16.251,0,4.762,0.179,0.774,0.655,0.952,0.06,15.239,1.548,4.524,331.872,3.334,8.036,10.418,0.655,2.857,50.956,0,0,0,183.765,2.381,0.119,29.526,12.203,26.669,3.75,5.596,0,0.119,39.17,1.905,190.313,33.753,29.229,1.905,2.322,0,102.687,3.75,17.68,3.869,0.06,11.608,42.92,13.573,0.06,2.679,0.417,2.5,7.798,3.095,0.298,2.857,4.584,0.357,0.06,3.453,0,50.361,107.449,1.25,0.893,1.964,28.395,3.691,0,0,3.512,0.238,4.881,1.429,1.786,0.238,0.952,1.191,0,0,1.786,53.873,11.31,69.232,1.369,58.1,28.514,0.476,7.024,2.619,0,67.505,0.357,30.538,0,29.705,0.06,0.06,1.667,2.381,7.322,6.727,236.269,0,1.905,0,0.06,2.322,0,0,4.167,4.048,1.012,4.584,0,0,66.791,0.536,0.119
SD0354,0.174,2.093,56.168,0,0.058,0.349,332.47,21.165,2.035,21.455,0.233,32.154,0.349,35.003,0.174,0.116,42.853,24.363,57.098,0.058,0.174,0.116,0.058,0.058,2.675,21.397,0.756,4.768,4.419,9.943,0,0.058,32.503,0.174,0,0,0,48.609,9.594,0,0.233,1.686,0.291,0.698,0.058,0,1.337,1.047,0,16.629,23.432,2.791,2.326,0.116,3.605,0.872,3.372,0,0.407,1.628,4.942,0,0,5.349,0,0.407,53.493,0.058,95.357,1.395,0.291,12.152,0.116,0.407,278.454,23.2,0,0.581,0.465,0,2.209,540.337,2.326,0.116,3.024,0.756,0.756,8.605,1.802,6.745,0.349,43.143,2.675,0.523,0,0,0.116,19.478,0.756,0.233,0,0.174,0.116,0,1.686,1.686,0.116,1.744,0.64,0.233,11.513,0.698,0.698,65.064,2.326,0,840.13,3.605,0,0.581,182.05,0.116,0.058,29.944,33.898,0.058,42.504,10.931,0,0.233,0.058,0.523,74.018,10.699,80.646,0.116,0.233,2.035,12.559,0.174,1.047,22.502,0,13.024,175.131,15.466,0.523,13.257,0,1.802,5.989,15.873,0.116,5.756,1.686,30.119,0.058,2.558,17.501,0.058,42.213,0,0.233,11.629,0.407,2.558,23.083,0.291,2.965,14.827,2.617,1.686,0.291,2.617,0.698,2.093,0.058,0.058,0,10.524,0.814,106.579,3.372,0.116,37.968,0.349,0,0.872,0.058,1.395,0.465,74.425,0.465,3.954,2.209,0.814,84.368,0.116,52.039,28.084,22.444,0.116,0.349,9.129,1.977,15.873,5.407,0.058,3.779,2.384,0.872,0,0,4.652,0.233,3.198,1.454
